Name	Race	Class	Minion	Spell	Weapon	Rarity	Mana	Attack	Health	Spell Power	Enrage	Special	Battlecry	Taunt	Deathrattle	Windfury	Charge	Divine Shield	Summoned	Stealth	Effect
Backstab		Rogue	0	1	0	B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Deal 2 damage to an undamaged minion.
Baine Bloodhoof			1	0	0		0	4	5	0	0	0	0	0	0	0	0	0	1	0	
Bane of Doom		Warrior	0	1	0	E	5	0	0	0	0	0	0	0	0	0	0	0	0	0	"Deal 2 damage to a character. If that kills it, summon a random Demon."
Baron Geddon			1	0	0	L	7	7	5	0	0	1	0	0	0	0	0	0	0	0	"At the end of your turn, deal 2 damage to ALL other characters."
Battle Axe		Warrior	0	0	1		0	2	2	0	0	0	0	0	0	0	0	0	1	0	
Battle Rage		Warrior	0	1	0	C	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Draw a card for each damaged friendly character.
Bestial Wrath		Hunter	0	1	0	E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Give a Beast +2 Attack and Immune this turn.
Betrayal		Rogue	0	1	0	C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Force an enemy minion to deal its damage to the minions next to it.
Big Game Hunter			1	0	0	E	3	4	2	0	0	0	1	0	0	0	0	0	0	0	Destroy a minion with an Attack of 7 or more.
Bite		Druid	0	1	0	R	4	0	0	0	0	0	0	0	0	0	0	0	0	0	Give your hero +4 Attack this turn and 4 armor.
Blade Flurry		Rogue	0	1	0	R	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Destroy your weapon and deal its damage to all enemies.
Blessed Champion		Paladin	0	1	0	R	5	0	0	0	0	0	0	0	0	0	0	0	0	0	Double a minion's Attack.
Blessing of Kings		Paladin	0	1	0	B	4	0	0	0	0	0	0	0	0	0	0	0	0	0	Give a minion +4/+4.
Blessing of Might		Paladin	0	1	0	B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Give a minion +3 attack.
Blessing of Wisdom		Paladin	0	1	0	C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	"Choose a minion. Whenever it attacks, draw a card."
Blizzard		Mage	0	1	0	R	6	0	0	0	0	0	0	0	0	0	0	0	0	0	Deal 2 damage to all enemy minions and Freeze them.
Blood Fury		Warlock	0	0	1		0	3	8	0	0	0	0	0	0	0	0	0	1	0	
Blood Imp	Demon	Warrior	1	0	0	C	1	0	1	0	0	0	0	0	0	0	0	0	0	1	"At the end of your turn, give another random  friendly minion +1 Health."
Blood Knight			1	0	0	E	3	3	3	0	0	0	1	0	0	0	0	0	0	0	All minions lose Divine Shield. Gain +3/+3 for each Shield lost.
Bloodfen Raptor	Beast		1	0	0	B	2	3	2	0	0	0	0	0	0	0	0	0	0	0	
Bloodlust		Shaman	0	1	0	B	5	0	0	0	0	0	0	0	0	0	0	0	0	0	Give your minions + 3 Attack this turn.
Bloodmage Thalanos			1	0	0	L	2	1	1	1	0	0	0	0	1	0	0	0	0	0	Draw a card.
Bloodsail Corsair	Pirate		1	0	0	R	1	1	2	0	0	0	1	0	0	0	0	0	0	0	Remove 1 Durability from your opponent's weapon.
Bloodsail Raider	Pirate		1	0	0	C	2	2	3	0	0	0	1	0	0	0	0	0	0	0	Gain Attack equal to the attack of your weapon.
Bluegill Warrior	Murloc		1	0	0	B	2	1	1	0	0	0	0	0	0	0	1	0	0	0	
Boar	Beast		1	0	0		0	1	1	0	0	0	0	0	0	0	0	0	1	0	
Booty Bay Bodyguard			1	0	0	B	5	5	4	0	0	0	0	1	0	0	0	0	0	0	
Boulderfist Ogre			1	0	0	B	6	6	7	0	0	0	0	0	0	0	0	0	0	0	
Brawl		Warrior	0	1	0	E	5	0	0	0	0	0	0	0	0	0	0	0	0	0	Destroy all minions except one. (chosen randomly)
Cabal Shadow Priest		Priest	1	0	0	E	6	4	5	0	0	0	1	0	0	0	0	0	0	0	Take control of an enemy minion that has 2 ore less Attack.
Cairne Bloodhoof			1	0	0	L	6	4	5	0	0	0	0	0	1	0	0	0	0	0	Summon a 4/5 Baine Bloodhoof.
Captain Greenskin	Pirate		1	0	0	L	5	5	4	0	0	0	1	0	0	0	0	0	0	0	Give your weapon +1/+1.
Captain's Parrot	Beast		1	0	0	E	2	1	1	0	0	0	1	0	0	0	0	0	0	0	Put a random Pirate from your deck into your hand.
Cenarius		Druid	1	0	0	L	9	5	8	0	0	1	0	0	0	0	0	0	0	0	Choose one - Give your other minions +2/+2; or Summon two 2/2 Treants with Taunt.
Charge			0	1	0	B	3	0	0	0	0	0	0	0	0	0	0	0	0	0	Give a friendly minion +2 Attack and Charge.
Chillwind Yeti			1	0	0	B	4	4	5	0	0	0	0	0	0	0	0	0	0	0	
Circle of Healing		Priest	0	1	0	C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Restore 4 health to ALL minions.
Claw		Druid	0	1	0	B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Give your hero +2 Attack this turn and 2 Armor.
Cleave		Warrior	0	1	0	B	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Deal 2 damage to two random enemy minions.
Cold Blood		Rogue	0	1	0	C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Give a minion +2 Attack. Combo: +4 Attack instead.
Coldlight Oracle	Murloc		1	0	0	R	3	2	2	0	0	0	1	0	0	0	0	0	0	0	Each player draws 2 cards.
Coldlight Seer	Murloc		1	0	0	R	3	2	3	0	0	0	1	0	0	0	0	0	0	0	Give ALL other Murlocs +2 Health.
Commanding Shout		Warrior	0	1	0	R	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Your minions can't be reduced below 1 Health this turn. Draw a card.
Conceal		Rogue	0	1	0	C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Give your minions Stealth until your next turn.
Cone of Cold		Mage	0	1	0	C	4	0	0	0	0	0	0	0	0	0	0	0	0	0	"Freeze a minion and the minions next to it, and deal 1 damage to them."
Consecration		Paladin	0	1	0	B	4	0	0	0	0	0	0	0	0	0	0	0	0	0	Deal 2 damage to all enemies.
Core Hound	Beast		1	0	0	B	7	9	5	0	0	0	0	0	0	0	0	0	0	0	
Corruption		Warrior	0	1	0	B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	"Choose an enemy minion. At the start of your turn, destroy it."
Counterspell		Mage	0	1	0	R	3	0	0	0	0	0	0	0	0	0	0	0	0	0	"Secret: When your opponent casts a spell, Counter it."
Crazed Alchemist			1	0	0	R	2	2	2	0	0	0	1	0	0	0	0	0	0	0	Swap the Attack and Health of a minion.
Cruel Taskmasker		Warrior	1	0	0	B	2	2	2	0	0	0	1	0	0	0	0	0	0	0	Deal 1 damage to a minion and give it +2 Attack.
Cult Master			1	0	0	B	4	4	2	0	0	1	0	0	0	0	0	0	0	0	"Whenever one of your other minions dies, draw a card."
Dalaran Mage			1	0	0	B	3	1	4	1	0	0	0	0	0	0	0	0	0	0	
Damaged Golem			1	0	0		0	2	1	0	0	0	0	0	0	0	0	0	1	0	
Dark Iron Dwarf			1	0	0	C	4	4	4	0	0	0	1	0	0	0	0	0	0	0	Give a minion +2 Attack this turn.
Darkscale Healer			1	0	0	B	5	4	5	0	0	0	1	0	0	0	0	0	0	0	Restore 2 Health to all friendly characters.
Deadly Poison		Rogue	0	1	0	B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Give your weapon +2 Attack.
Deadly Shot		Hunter	0	1	0	C	3	0	0	0	0	0	0	0	0	0	0	0	0	0	Destroy a random enemy minion.
Deathwing	Dragon		1	0	0	L	10	12	12	0	0	0	1	0	0	0	0	0	0	0	Destroy all other minions and discard your hand.
Defender			1	0	0		0	2	1	0	0	0	0	0	0	0	0	0	1	0	
Defender of Argus			1	0	0	R	4	2	3	0	0	0	1	0	0	0	0	0	0	0	Give adjacent minions +1/+1 and Taunt.
Defias Ringleader		Rogue	1	0	0	C	2	2	2	0	0	1	0	0	0	0	0	0	0	0	Combo: Summon a 2/1 Defias Bandit.
Demolisher			1	0	0	R	3	1	4	0	0	1	0	0	0	0	0	0	0	0	"At the start of your turn, deal 2 damage to a random enemy."
Demonfire		Warlock	0	1	0	C	2	0	0	0	0	0	0	0	0	0	0	0	0	0	"Deal 2 damage to a minion. If it's a friendly Demon, give it +2/+2 instead."
Devilsaur			1	0	0		0	5	5	0	0	0	0	0	0	0	0	0	1	0	
Dire Wolf Alpha	Beast		1	0	0	C	2	2	2	0	0	1	0	0	0	0	0	0	0	0	Adjacent minions have +1 Attack.
Divine Favor		Paladin	0	1	0	R	3	0	0	0	0	0	0	0	0	0	0	0	0	0	Draw cards until you have as many in hand as your opponent.
Divine Spirit		Priest	0	1	0	B	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Double a minion's Health.
Doomguard	Demon	Warlock	1	0	0	R	5	5	7	0	0	0	1	0	0	0	1	0	0	0	Discard two random cards.
Doomhammer		Shaman	0	0	1	E	5	2	8	0	0	0	0	0	0	1	0	0	0	0	Overload: (2)
Doomsayer			1	0	0	E	2	0	7	0	0	1	0	0	0	0	0	0	0	0	"At the start of your turn, destroy ALL minions."
Dragonling Mechanic			1	0	0	B	4	2	4	0	0	0	1	0	0	0	0	0	0	0	Summon a 2/1 Mechanical Dragonling.
Drain Life		Warlock	0	1	0	B	3	0	0	0	0	0	0	0	0	0	0	0	0	0	Deal 2 damage. Restore 2 Health to your hero.
Dread Corsair	Pirate		1	0	0	C	4	3	3	0	0	1	0	1	0	0	0	0	0	0	Costs (1) less per Attack of your weapon.
Dread Infernal	Demon	Warlock	1	0	0	B	6	6	6	0	0	0	1	0	0	0	0	0	0	0	Deal 1 damage to ALL other characters.
Druid of the Claw		Druid	1	0	0	C	5	4	4	0	0	1	0	0	0	0	0	0	0	0	Choose One - Charge; or +2 Health and Taunt.
Druid of the Claw (bear)		Druid	1	0	0		0	4	6	0	0	0	0	1	0	0	0	0	1	0	
Druid of the Claw (cat)		Druid	1	0	0		0	4	4	0	0	0	0	0	0	0	1	0	1	0	
Dust Devil		Shaman	1	0	0	C	1	3	1	0	0	0	0	0	0	1	0	0	0	0	Overload: (2)
Eaglehorn Bow		Hunter	0	0	1	R	3	3	2	0	0	1	1	0	0	0	0	0	0	0	"Whenever a Secret is revealed, gain +1 Durability."
Earth Elemental		Shaman	1	0	0	E	5	7	8	0	0	0	0	1	0	0	0	0	0	0	Overload: (3)
Earth Shock		Shaman	0	1	0	C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	"Silence a minion, then deal 1 damage to it."
Earthen Ring Farseer			1	0	0	C	3	3	3	0	0	0	1	0	0	0	0	0	0	0	Restore 3 Health.
Edwin Vancleef			1	0	0	L	3	2	2	0	0	0	0	0	0	0	0	0	0	0	Combo: Gain +2/+2 for each card played earlier this turn.
Elite Tauren Chieftan			1	0	0	L	5	5	5	0	0	0	1	0	0	0	0	0	0	0	Give both players the power to ROCK! (with a Power Cord card)
Elven Archer			1	0	0	B	1	1	1	0	0	0	1	0	0	0	0	0	0	0	Deal 1 damage.
Emboldener 3000			1	0	0		0	0	4	0	0	1	0	0	0	0	0	0	1	0	"At the end of your turn, give a random minion +1/+1."
Emperor Cobra	Beast		1	0	0	R	3	2	3	0	0	1	0	0	0	0	0	0	0	0	Destroy any minion damaged by this minion.
Equality		Paladin	0	1	0	R	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Change the Health of ALL minions to 1.
Ethereal Arcanist		Mage	1	0	0	R	4	3	3	0	0	1	0	0	0	0	0	0	0	0	"If you control a Secret at the end of your turn, gain +2/+2."
Eviscerate		Rogue	0	1	0	C	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Deal 2 damage. Combo: Deal 4 damage instead.
Execute		Warrior	0	1	0	B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Destroy a damaged enemy minion.
Explosive Shot		Hunter	0	1	0	R	5	0	0	0	0	0	0	0	0	0	0	0	0	0	Deal 5 damage to a minion and 2 damage to the adjacent ones.
Explosive Trap		Hunter	0	1	0	C	2	0	0	0	0	0	0	0	0	0	0	0	0	0	"Secret: When your hero is attacked, deal 2 damage to all enemies."
Eye for an Eye		Paladin	0	1	0	C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	"Secret: When your hero takes damage,deal that much damage to the enemy hero."
Faceless Manipulator			1	0	0	E	5	3	3	0	0	0	1	0	0	0	0	0	0	0	Choose a minion and become a copy of it.
Faerie Dragon	Dragon		1	0	0	C	2	3	2	0	0	1	0	0	0	0	0	0	0	0	Can't be targeted by Spells of Hero Powers.
Fan of Knives		Rogue	0	1	0	B	3	0	0	0	0	0	0	0	0	0	0	0	0	0	Deal 1 damage to all enemy minions. Draw a card.
Far Sight		Shaman	0	1	0	E	3	0	0	0	0	0	0	0	0	0	0	0	0	0	Draw a card. That card costs (3) less.
Felguard	Demon	Warlock	1	0	0	R	3	3	5	0	0	0	1	1	0	0	0	0	0	0	Destroy one of your Mana Crystals.
Fen Creeper			1	0	0	B	5	3	6	0	0	0	0	1	0	0	0	0	0	0	
Feral Spirit		Shaman	0	1	0	R	3	0	0	0	0	0	0	0	0	0	0	0	0	0	Summon two 2/3 Spirit Wolves with Taunt. Overload: (2)
Fiery War Axe		Warrior	0	0	1	B	2	3	2	0	0	0	0	0	0	0	0	0	0	0	
Finkle Einhorn			1	0	0		0	3	3	0	0	0	0	0	0	0	0	0	1	0	
Fire Elemental		Shaman	1	0	0	B	6	6	5	0	0	0	1	0	0	0	0	0	0	0	Deal 3 damage.
Fireball		Mage	0	1	0	B	4	0	0	0	0	0	0	0	0	0	0	0	0	0	Deal 6 damage.
Flame Imp	Demon	Warlock	1	0	0	C	1	3	2	0	0	0	1	0	0	0	0	0	0	0	Deal 3 damage to your hero.
Flame of Azzinoth			1	0	0		0	2	1	0	0	0	0	0	0	0	0	0	1	0	
Flamestrike		Mage	0	1	0	B	7	0	0	0	0	0	0	0	0	0	0	0	0	0	Deal 4 damage to all enemy minions.
Flametongue Totem	Totem	Shaman	0	1	0	B	2	0	3	0	0	1	0	0	0	0	0	0	0	0	Adjacent minions have +2 Attack.
Flare		Hunter	0	1	0	R	1	0	0	0	0	0	0	0	0	0	0	0	0	0	All minions lose Stealth. Destroy all enemy Secrets. Draw a card.
Flesheating Ghoul			1	0	0	C	3	2	3	0	0	1	0	0	0	0	0	0	0	0	"Whenever a minnion dies, gain 1 Attack."
Force of Nature		Druid	0	1	0	E	6	0	0	0	0	0	0	0	0	0	0	0	0	0	Summon three 2/2 Treants with Charge that die at the end of the turn.
Forked Lightning		Shaman	0	1	0	C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Deal 2 damage to 2 random enemy minions. Overload: (2)
Freezing Trap		Hunter	0	1	0	C	2	0	0	0	0	0	0	0	0	0	0	0	0	0	"Secret: When an enemy minion attacks, return it to its owner's hand and it costs (2) more."
Frog	Beast		1	0	0		0	0	1	0	0	0	0	1	0	0	0	0	1	0	
Frost Elemental			1	0	0	C	6	5	5	0	0	0	1	0	0	0	0	0	0	0	Freeze a character.
Frost Nova		Mage	0	1	0	B	3	0	0	0	0	0	0	0	0	0	0	0	0	0	Freeze all enemy minions.
Frost Shock		Shaman	0	1	0	B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Deal 1 damage to an enemy character and Freeze it.
Frostbolt		Mage	0	1	0	B	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Deal 3 damage to a character and Freeze it.
Frostwolf Grunt			1	0	0	B	2	2	2	0	0	0	0	1	0	0	0	0	0	0	
Frostwolf Warlord			1	0	0	B	5	4	4	0	0	0	1	0	0	0	0	0	0	0	Gaint +1/+1 for each other friendly minion on the battlefield.
Frothing Berserker		Warrior	1	0	0	R	3	2	4	0	0	1	0	0	0	0	0	0	0	0	"Whenever a minion takes damage, gain +1 Attack."
Gadgetzan Auctioneer			1	0	0	R	5	4	4	0	0	1	0	0	0	0	0	0	0	0	"Whenever you cast a spell, draw a card."
Gelbin Mekkatorque			1	0	0	L	6	6	6	0	0	0	1	0	0	0	0	0	0	0	Summon an AWESOME invention.
Gladiator's Longbow		Hunter	0	0	1	E	7	5	2	0	0	0	0	0	0	0	0	0	0	0	Your hero is Immune while attacking.
Gnoll			1	0	0		0	2	2	0	0	0	0	1	0	0	0	0	1	0	
Gnomish Inventor			1	0	0	B	4	2	4	0	0	0	1	0	0	0	0	0	0	0	Draw a card.
Goldshire Footman			1	0	0	B	1	1	2	0	0	0	0	1	0	0	0	0	0	0	
Gorehowl		Warrior	0	0	1	E	7	7	1	0	0	0	0	0	0	0	0	0	0	0	Attacking a minion costs 1 Attack instead of 1 Durability.
Grimscale Oracle	Murloc		1	0	0	B	1	1	1	0	0	1	0	0	0	0	0	0	0	0	ALL other Murlocs have +1 Attack.
Grommash Hellscream		Warrior	1	0	0	L	8	4	9	0	1	0	0	0	0	0	1	0	0	0	+6 Attack.
Gruul			1	0	0	L	8	7	7	0	0	1	0	0	0	0	0	0	0	0	"At the end of each turn, gain +1/+1."
Guardian of Kings		Paladin	1	0	0	B	7	5	6	0	0	0	1	0	0	0	0	0	0	0	Restore 6 Health to your hero.
Gurubashi Berserker			1	0	0	B	5	2	7	0	0	1	0	0	0	0	0	0	0	0	"Whenever this minion takes damage, gain +3 Attack."
Hammer of Wrath		Paladin	0	1	0	B	4	0	0	0	0	0	0	0	0	0	0	0	0	0	Deal 3 damage. Draw a card.
Hand of Protection		Paladin	0	1	0	B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Give a minion Divine Shield.
Harrison Jones			1	0	0	L	5	5	4	0	0	0	1	0	0	0	0	0	0	0	Destroy your opponents weapon and draw cards equal to its Durability.
Harvest Golem			1	0	0	C	3	2	3	0	0	0	0	0	1	0	0	0	0	0	Summon a 2/1 Damaged Golem.
Headcrack		Rogue	0	1	0	R	3	0	0	0	0	0	0	0	0	0	0	0	0	0	Deal 2 damage to the enemy hero. Combo: Return this to your hand next turn.
Healing Touch		Druid	0	1	0	B	3	0	0	0	0	0	0	0	0	0	0	0	0	0	Restore 8 Health.
Heavy Axe			0	0	1		0	1	3	0	0	0	0	0	0	0	0	0	1	0	
Hellfire		Warlock	0	1	0	B	4	0	0	0	0	0	0	0	0	0	0	0	0	0	Deal 3 damage to ALL characters.
Heroic Strike		Warrior	0	1	0	B	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Give your hero +4 Attack this turn.
Hex		Shaman	0	1	0	B	3	0	0	0	0	0	0	0	0	0	0	0	0	0	Transform a minion into a 0/1 Frog with Taunt.
Hogger			1	0	0	L	6	4	4	0	0	1	0	0	0	0	0	0	0	0	"At the end of your turn, summon a 2/2 Gnoll with Taunt."
Holy Fire		Priest	0	1	0	R	6	0	0	0	0	0	0	0	0	0	0	0	0	0	Deal 5 damage. Restore 5 Health to your hero.
Holy Light		Paladin	0	1	0	B	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Restore 6 Health.
Holy Nova		Priest	0	1	0	B	5	0	0	0	0	0	0	0	0	0	0	0	0	0	Deal 2 damage to all enemies. Restore 2 Health to all friendly characters.
Holy Smite		Priest	0	1	0	B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Deal 2 damage.
Holy Wrath		Paladin	0	1	0	R	5	0	0	0	0	0	0	0	0	0	0	0	0	0	Draw a card and deal damage equal to its cost.
Homing Chicken			1	0	0		0	0	1	0	0	1	0	0	0	0	0	0	1	0	"At the start of your turn, destroy this minion and draw 3 cards."
Houndmaster		Hunter	1	0	0	B	4	4	3	0	0	0	1	0	0	0	0	0	0	0	Give a friendly Beast +2/+2 and Taunt.
Huffer	Beast	Hunter	1	0	0		3	4	2	0	0	0	0	0	0	0	1	0	1	0	
Humility		Paladin	0	1	0	B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Change a minion's Attack to 1.
Hungry Crab	Beast		1	0	0	E	1	1	2	0	0	0	1	0	0	0	0	0	0	0	Destroy a Murloc and gain +2/+2.
Hunter's Mark		Hunter	0	1	0	B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Change a minion's Health to 1.
Hyena			1	0	0		0	2	2	0	0	0	0	0	0	0	0	0	1	0	
I Am Murloc			0	1	0		4	0	0	0	0	0	0	0	0	0	0	0	1	0	"Summon three, four, or five 1/1 Murlocs."
Ice Barrier		Mage	0	1	0	C	3	0	0	0	0	0	0	0	0	0	0	0	0	0	"Secret: As soon as your hero is attacked, gain 8 Armor."
Ice Block		Mage	0	1	0	E	3	0	0	0	0	0	0	0	0	0	0	0	0	0	"Secret: When your hero takes fatal damage, prevent it and become Immune this turn."
Ice Lance			0	1	0	C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Freeze a character. If it was already frozen deal 4 damage instead.
Illidan Stormrage	Demon		1	0	0	L	6	7	5	0	0	1	0	0	0	0	0	0	0	0	"Whenever you play a card, summon a 2/1 Flame of Azzinoth."
Imp Master			1	0	0	R	3	1	5	0	0	1	0	0	0	0	0	0	0	0	"At the end of your turn, deal 1 damage to this minion and summon a 1/1 Imp."
INFERNO!		Warlock	1	0	0		2	6	6	0	0	0	0	0	0	0	0	0	1	0	
Injured Blademaster			1	0	0	R	3	4	7	0	0	0	1	0	0	0	0	0	0	0	Deal 4 damage to HIMSELF.
Inner Fire		Priest	0	1	0	C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Change a minion's Attack to be equal to its Health.
Inner Rage		Warrior	0	1	0	C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Deal 1 damage to a minion and give it +2 Attack.
Innervate		Druid	0	1	0	B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gain 2 Mana Crystals this turn only.
Ironbark Protector		Druid	1	0	0	B	8	8	8	0	0	0	0	1	0	0	0	0	0	0	
Ironbeak Owl	Beast		1	0	0	C	2	2	1	0	0	0	1	0	0	0	0	0	0	0	Silence a minion.
Ironforge Rifleman			1	0	0	B	3	2	2	0	0	0	1	0	0	0	0	0	0	0	Deal 1 damage.
Ironfur Grizzly	Beast		1	0	0	B	3	3	3	0	0	0	0	1	0	0	0	0	0	0	
Jungle Panther	Beast		1	0	0	C	3	4	2	0	0	0	0	0	0	0	0	0	0	1	
Keeper of the Grove		Druid	1	0	0	R	4	2	4	0	0	1	0	0	0	0	0	0	0	0	Choose One - Deal 2 damage; or Silence a minion.
Kidnapper		Rogue	1	0	0	E	6	5	3	0	0	1	0	0	0	0	0	0	0	0	Combo: Return a minion to it's owner's hand.
Kill Command		Hunter	0	1	0	B	3	0	0	0	0	0	0	0	0	0	0	0	0	0	"Deal 3 damage. If you have a Beast, deal 5 damage instead."
King Krush	Beast	Hunter	1	0	0	L	9	8	8	0	0	0	0	0	0	0	1	0	0	0	
King Mukla	Beast		1	0	0	L	3	5	5	0	0	0	1	0	0	0	0	0	0	0	Give your opponent 2 Bananas.
Kirin Tor Mage		Mage	1	0	0	R	3	4	3	0	0	0	1	0	0	0	0	0	0	0	The next Secret you play this turn costs (0).
Knife Juggler			1	0	0	R	2	3	2	0	0	1	0	0	0	0	0	0	0	0	"After you summon a minion, deal 1 damage to a random enemy."
